,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qends,start,send,evalue,bitscore,gene,strain,contig
297,group1343|3385-158|3385-158_01266,unitig_0|quiver,99.882,1696,0,2,583,2277,1,1695,0.0,3120.0,group1343,3385-158,3385-158_01266
295,group1342|3385-158|3385-158_01265,unitig_0|quiver,99.147,469,0,3,1,468,1700,2165,0.0,841.0,group1342,3385-158,3385-158_01265
292,group1341|3385-158|3385-158_01264,unitig_0|quiver,100.0,909,0,0,1,909,2162,3070,0.0,1679.0,group1341,3385-158,3385-158_01264
291,group1340|3385-158|3385-158_01263,unitig_0|quiver,99.712,1041,0,2,1,1041,3067,4104,0.0,1903.0,group1340,3385-158,3385-158_01263
287,group1339|3385-158|3385-158_01262,unitig_0|quiver,100.0,390,0,0,1,390,4105,4494,0.0,721.0,group1339,3385-158,3385-158_01262
286,group1338|3385-158|3385-158_01261,unitig_0|quiver,99.638,553,0,1,1,553,4491,5041,0.0,1009.0,group1338,3385-158,3385-158_01261
283,group1337|3385-158|3385-158_01260,unitig_0|quiver,100.0,390,0,0,1,390,5061,5450,0.0,721.0,group1337,3385-158,3385-158_01260
282,group1336|3385-158|3385-158_01259,unitig_0|quiver,99.528,1695,0,7,1,1692,5562,7251,0.0,3079.0,group1336,3385-158,3385-158_01259
279,group1335|3385-158|3385-158_01258,unitig_0|quiver,100.0,747,0,0,1,747,7698,8444,0.0,1380.0,group1335,3385-158,3385-158_01258
277,group1334|3385-158|3385-158_01257,unitig_0|quiver,100.0,747,0,0,1,747,8453,9199,0.0,1380.0,group1334,3385-158,3385-158_01257
275,group1333|3385-158|3385-158_01256,unitig_0|quiver,100.0,444,0,0,1,444,9853,9410,0.0,821.0,group1333,3385-158,3385-158_01256
273,group1332|3385-158|3385-158_01255,unitig_0|quiver,100.0,1080,0,0,1,1080,10938,9859,0.0,1995.0,group1332,3385-158,3385-158_01255
271,group1331|3385-158|3385-158_01254,unitig_0|quiver,100.0,1041,0,0,1,1041,12314,11274,0.0,1923.0,group1331,3385-158,3385-158_01254
269,group1330|3385-158|3385-158_01253,unitig_0|quiver,100.0,588,0,0,1,588,12930,12343,0.0,1086.0,group1330,3385-158,3385-158_01253
267,group1329|3385-158|3385-158_01252,unitig_0|quiver,100.0,951,0,0,1,951,13946,12996,0.0,1757.0,group1329,3385-158,3385-158_01252
265,group1328|3385-158|3385-158_01251,unitig_0|quiver,100.0,873,0,0,1,873,14819,13947,0.0,1613.0,group1328,3385-158,3385-158_01251
264,group1327|3385-158|3385-158_01250,unitig_0|quiver,100.0,735,0,0,1,735,15074,15808,0.0,1358.0,group1327,3385-158,3385-158_01250
263,group1326|3385-158|3385-158_01249,unitig_0|quiver,100.0,1401,0,0,1,1401,15928,17328,0.0,2588.0,group1326,3385-158,3385-158_01249
262,group1325|3385-158|3385-158_01248,unitig_0|quiver,100.0,543,0,0,1,543,17331,17873,0.0,1003.0,group1325,3385-158,3385-158_01248
261,group1324|3385-158|3385-158_01247,unitig_0|quiver,100.0,393,0,0,1,393,18040,18432,0.0,726.0,group1324,3385-158,3385-158_01247
260,group1323|3385-158|3385-158_01246,unitig_0|quiver,100.0,417,0,0,1,417,18437,18853,0.0,771.0,group1323,3385-158,3385-158_01246
259,group1322|3385-158|3385-158_01245,unitig_0|quiver,100.0,342,0,0,1,342,18857,19198,0.0,632.0,group1322,3385-158,3385-158_01245
258,group1321|3385-158|3385-158_01244,unitig_0|quiver,100.0,789,0,0,1,789,19218,20006,0.0,1458.0,group1321,3385-158,3385-158_01244
257,group1320|3385-158|3385-158_01243,unitig_0|quiver,100.0,483,0,0,1,483,20022,20504,0.0,893.0,group1320,3385-158,3385-158_01243
256,group1319|3385-158|3385-158_01242,unitig_0|quiver,100.0,1122,0,0,1,1122,20501,21622,0.0,2073.0,group1319,3385-158,3385-158_01242
255,group1318|3385-158|3385-158_01241,unitig_0|quiver,100.0,543,0,0,1,543,21619,22161,0.0,1003.0,group1318,3385-158,3385-158_01241
254,group1317|3385-158|3385-158_01240,unitig_0|quiver,100.0,717,0,0,1,717,22158,22874,0.0,1325.0,group1317,3385-158,3385-158_01240
253,group1316|3385-158|3385-158_01239,unitig_0|quiver,100.0,507,0,0,1,507,22887,23393,0.0,937.0,group1316,3385-158,3385-158_01239
252,group1315|3385-158|3385-158_01238,unitig_0|quiver,100.0,738,0,0,1,738,23390,24127,0.0,1363.0,group1315,3385-158,3385-158_01238
251,group1314|3385-158|3385-158_01237,unitig_0|quiver,100.0,1974,0,0,1,1974,26285,24312,0.0,3646.0,group1314,3385-158,3385-158_01237
244,group1311|3385-158|3385-158_01234,unitig_0|quiver,79.283,893,154,25,28,906,26742,27617,3.25e-170,595.0,group1311,3385-158,3385-158_01234
247,group1312|3385-158|3385-158_01235,unitig_0|quiver,79.287,898,165,18,24,909,29081,29969,4.16e-174,608.0,group1312,3385-158,3385-158_01235
250,group1313|3385-158|3385-158_01236,unitig_0|quiver,79.283,893,154,26,28,903,29085,29963,3.23e-170,595.0,group1313,3385-158,3385-158_01236
241,group1310|3385-158|3385-158_01233,unitig_0|quiver,100.0,963,0,0,1,963,30270,31232,0.0,1779.0,group1310,3385-158,3385-158_01233
240,group1309|3385-158|3385-158_01232,unitig_0|quiver,100.0,630,0,0,1,630,31436,32065,0.0,1164.0,group1309,3385-158,3385-158_01232
239,group1308|3385-158|3385-158_01231,unitig_0|quiver,100.0,1332,0,0,1,1332,32062,33393,0.0,2460.0,group1308,3385-158,3385-158_01231
238,group1307|3385-158|3385-158_01230,unitig_0|quiver,100.0,1296,0,0,1,1296,33398,34693,0.0,2394.0,group1307,3385-158,3385-158_01230
237,group1306|3385-158|3385-158_01229,unitig_0|quiver,100.0,1443,0,0,1,1443,34690,36132,0.0,2665.0,group1306,3385-158,3385-158_01229
236,group1305|3385-158|3385-158_01228,unitig_0|quiver,100.0,564,0,0,1,564,36074,36637,0.0,1042.0,group1305,3385-158,3385-158_01228
235,group1304|3385-158|3385-158_01227,unitig_0|quiver,100.0,672,0,0,1,672,36918,37589,0.0,1242.0,group1304,3385-158,3385-158_01227
234,group1303|3385-158|3385-158_01226,unitig_0|quiver,100.0,1302,0,0,1,1302,37715,39016,0.0,2405.0,group1303,3385-158,3385-158_01226
233,group1302|3385-158|3385-158_01225,unitig_0|quiver,100.0,1488,0,0,1,1488,39036,40523,0.0,2748.0,group1302,3385-158,3385-158_01225
232,group1301|3385-158|3385-158_01224,unitig_0|quiver,100.0,1047,0,0,1,1047,40527,41573,0.0,1934.0,group1301,3385-158,3385-158_01224
231,group1300|3385-158|3385-158_01223,unitig_0|quiver,100.0,348,0,0,1,348,41608,41955,0.0,643.0,group1300,3385-158,3385-158_01223
230,group1299|3385-158|3385-158_01222,unitig_0|quiver,100.0,450,0,0,1,450,41952,42401,0.0,832.0,group1299,3385-158,3385-158_01222
229,group1298|3385-158|3385-158_01221,unitig_0|quiver,100.0,435,0,0,1,435,42392,42826,0.0,804.0,group1298,3385-158,3385-158_01221
228,group1297|3385-158|3385-158_01220,unitig_0|quiver,100.0,267,0,0,1,267,42926,43192,3.36e-140,494.0,group1297,3385-158,3385-158_01220
227,group1296|3385-158|3385-158_01219,unitig_0|quiver,100.0,2088,0,0,1,2088,43407,45494,0.0,3856.0,group1296,3385-158,3385-158_01219
